duration,rating,year,director,major cast,certification,gross,votes,budget
126,75,73,133,176,10,5,86360,30
118,75,53,222,228,14,9,238022,11
156,80,75,7,260,6,183,799022,135
86,80,48,133,178,14,1,337805,3
119,75,23,14,361,6,11,190050,2
120,75,66,373,272,13,0,34982,1
168,75,75,306,382,6,54,596337,44
116,80,47,362,292,16,46,739635,30
136,75,78,46,254,6,215,382562,36
149,80,74,71,33,6,167,976261,61
103,75,46,178,290,14,70,358165,6
159,75,56,221,138,13,4,67474,3
104,75,77,198,98,2,176,602442,4
100,75,69,135,94,14,75,229378,60
118,85,51,194,217,6,130,1421555,19
129,75,69,43,183,13,0,64724,5
135,75,79,125,384,14,108,203110,40
105,75,75,13,418,12,6,132338,8
105,80,58,386,438,13,1,87453,1
112,75,69,267,394,6,115,680948,30
127,75,54,88,419,14,5,176960,18
98,80,70,80,81,14,217,736860,165
115,80,67,203,446,13,0,104565,4
124,85,40,140,279,16,290,1283743,18
130,80,68,418,286,12,1,52390,1
93,80,37,414,456,6,39,265907,4
110,75,60,365,200,16,22,135449,5
121,80,19,37,277,14,25,267231,2
140,75,65,115,173,14,380,788451,113
143,80,66,90,260,6,57,548765,100
116,75,51,172,141,6,6,122383,9
107,75,60,172,141,14,45,312159,26
127,75,69,142,78,16,257,603613,150
114,75,68,393,253,13,2,217991,4
122,80,79,63,318,4,3,91101,3
152,75,69,271,301,13,10,217232,13
134,75,28,26,333,14,22,31767,4
161,80,19,282,199,6,11,66770,0
90,75,63,347,436,16,0,40614,0
120,80,75,116,428,16,154,995678,150
102,80,33,294,373,14,30,48054,2
143,80,79,274,406,16,0,54452,2
101,80,63,283,75,6,0,576319,3
114,75,67,33,307,6,20,272823,19
100,75,31,249,161,14,4,202000,3
174,80,20,97,275,6,19,73610,0
140,80,65,58,83,16,206,1461261,150
108,80,64,255,214,16,34,1001962,20
113,75,23,361,64,14,13,78172,3
106,75,76,175,147,12,3,94062,3
122,80,79,390,216,6,335,1260400,55
120,75,61,278,308,13,0,94103,0
115,80,64,45,91,14,261,733185,92
126,80,73,358,216,6,25,610050,23
138,80,70,241,260,6,128,1300721,80
126,75,72,354,29,16,0,43612,0
119,85,58,395,124,13,6,1116966,20
181,80,50,214,245,14,184,265609,22
101,75,12,14,145,6,7,134394,1
108,75,64,284,289,6,176,463913,75
147,75,78,57,425,15,220,331996,178
124,75,76,29,392,16,2,60822,2
161,75,73,296,184,16,258,662104,225
141,80,62,369,260,6,164,972912,52
169,85,58,369,427,6,216,1381197,70
94,75,65,15,438,13,0,51119,0
136,75,74,27,219,16,259,841060,170
108,75,74,9,12,16,25,543491,15
170,75,58,153,416,6,36,188327,52
100,75,52,149,8,13,10,106049,12
146,80,71,378,444,16,169,458543,25
104,75,31,409,159,6,15,123464,1
131,80,70,81,269,4,6,177431,6
109,80,42,176,252,6,13,423643,15
155,75,57,289,281,4,26,266115,15
158,75,71,71,96,0,102,463127,90
132,75,61,165,389,14,40,150610,22
136,80,31,362,273,6,6,826369,2
101,80,53,131,39,14,70,629024,14
99,75,61,319,142,13,2,64514,2
101,75,66,193,440,16,59,480755,8
126,80,57,127,360,14,138,960868,10
117,75,70,245,1,16,48,562594,30
93,75,42,382,407,6,47,252984,15
117,80,66,106,449,14,163,510128,55
120,80,36,177,407,14,117,573574,0
130,75,51,190,239,14,82,75471,11
170,75,24,114,27,14,72,95950,17
113,75,59,183,399,13,22,335895,13
195,90,53,281,403,6,96,1346124,22
132,75,73,142,78,16,228,483798,190
90,75,70,324,271,11,1,90457,14
128,80,47,411,57,14,3,71510,3
98,80,47,324,63,14,30,426994,16
157,75,67,322,115,6,130,426695,100
89,80,46,324,448,14,52,403032,8
85,80,13,105,155,14,9,104778,0
125,80,20,37,191,14,18,181661,3
103,80,58,298,214,14,125,1071309,60
172,75,30,119,152,14,61,102592,12
165,75,74,319,131,6,25,354651,4
162,75,69,419,193,6,107,551377,130
123,75,68,106,449,16,69,303435,55
94,75,71,414,323,12,56,423865,17
92,75,59,181,26,14,245,579457,90
113,75,64,94,190,16,57,489428,13
117,80,80,132,313,16,47,57438,49
90,80,52,340,225,14,217,418191,28
129,75,57,71,298,16,48,395904,50
210,80,64,30,391,14,1,90991,1
118,80,76,109,116,14,51,236542,12
108,75,59,399,450,6,0,239885,6
84,75,47,346,53,6,5,165588,3
104,75,34,199,447,14,2,31236,5
101,80,55,319,142,3,5,307411,2
144,75,53,47,8,6,36,218890,30
138,75,52,324,425,14,141,264779,41
120,75,72,33,33,6,136,614165,44
102,80,4,401,164,14,2,399003,2
88,75,58,394,32,14,120,287966,90
110,75,24,128,388,6,51,191234,3
126,75,68,191,357,16,318,1052872,140
90,75,68,302,263,6,145,602424,25
98,75,73,366,233,12,37,100477,12
125,75,5,147,381,14,76,97044,2
122,80,67,95,220,4,74,966192,25
145,75,62,369,425,6,132,550898,102
122,80,72,371,442,16,1,63147,0
153,80,67,352,391,14,1,80706,1
98,80,56,172,141,6,24,676009,7
112,85,14,14,199,14,36,490243,1
100,75,78,379,287,16,30,28040,8
127,75,65,338,20,14,5,55346,25
202,75,52,359,115,14,48,95133,33
148,80,67,350,134,14,18,622032,15
119,80,64,133,74,14,4,393215,24
89,80,20,139,293,6,1,29552,0
134,75,78,304,153,16,216,535728,52
122,75,60,50,41,6,32,276544,60
106,85,55,48,248,6,23,1079869,6
120,80,46,59,457,14,4,26079,4
121,75,53,329,356,13,17,142659,22
136,80,19,14,64,14,13,327674,3
93,75,43,39,331,14,20,148238,3
163,80,75,205,376,16,8,88499,8
91,75,73,12,383,16,274,823855,100
129,75,65,171,241,1,38,296170,28
110,80,58,406,148,13,5,39909,2
105,75,39,327,122,14,106,145827,8
238,80,4,401,164,14,198,315438,3
144,80,73,266,6,16,1,56541,0
112,75,64,285,118,16,54,436912,6
178,80,55,248,294,6,75,1033786,72
102,75,60,242,83,6,15,608891,7
98,75,51,219,187,13,2,49080,1
102,75,76,76,78,13,26,231182,12
113,75,30,35,210,16,0,30835,0
143,80,63,122,228,16,305,1121462,140
141,75,44,303,362,6,34,55887,14
97,75,45,241,168,16,10,70027,4
110,75,61,407,159,6,52,292973,21
99,75,64,364,401,16,17,140354,20
165,80,72,306,201,6,162,1539192,100
123,75,74,367,197,14,35,450363,15
101,75,59,291,68,13,8,97342,8
85,75,48,305,113,14,78,170323,12
130,75,79,312,96,16,165,618788,40
138,75,75,142,93,14,936,927233,245
102,75,74,84,82,14,222,460444,165
102,75,8,14,64,14,10,101596,2
103,75,64,157,63,6,56,421732,1
130,75,74,243,156,16,208,441798,170
104,75,73,323,186,14,4,56656,1
101,75,71,108,185,6,4,205306,1
133,75,40,180,221,14,57,200106,27
88,75,64,217,390,14,0,55477,1
202,90,34,99,8,6,57,1261864,13
120,75,62,417,213,16,53,181816,31
100,75,71,195,231,4,35,330958,8
129,80,69,204,349,13,6,209854,2
110,75,27,277,396,14,24,76855,2
117,85,39,322,397,13,78,877155,11
133,75,71,34,48,1,75,422603,50
124,75,63,7,389,16,16,237599,20
183,80,38,250,356,6,48,339151,15
92,80,61,293,112,14,289,904326,115
130,80,78,295,443,16,85,486124,23
165,85,28,351,174,14,5,328694,5
94,75,68,235,25,12,9,219221,12
123,75,73,316,117,3,15,349247,12
100,75,74,299,86,14,257,355187,60
88,80,11,3,433,14,0,168797,0
140,75,60,221,43,14,4,110444,12
136,75,77,150,79,16,389,675989,200
108,80,76,49,350,14,341,496172,150
150,75,74,108,185,6,2,123803,4
124,75,32,40,266,6,42,55518,4
90,75,20,120,339,10,0,32141,0
120,75,60,24,76,16,128,269716,17
132,80,25,351,88,14,15,256664,0
134,75,58,391,203,10,2,70722,2
117,75,66,419,165,6,210,818483,65
167,80,66,309,0,16,2,119271,2
101,75,76,397,72,14,48,129570,60
155,75,69,145,409,6,2,98873,13
127,80,58,93,30,13,0,54121,0
123,80,71,29,330,5,7,245133,0
107,80,59,231,56,6,293,988103,40
134,75,53,152,20,14,22,74989,15
130,80,52,60,88,6,101,411590,14
95,75,49,324,42,16,92,220802,16
127,80,49,2,403,14,197,751766,48
116,85,45,335,299,14,210,1194741,19
114,80,74,5,309,16,91,765887,14
130,75,33,103,395,6,29,123816,3
113,80,61,318,195,16,1,798856,6
154,75,79,402,179,14,2,32514,2
105,80,14,14,347,6,0,176174,1
124,75,65,414,386,13,23,218716,15
162,75,50,99,8,6,66,396592,54
120,75,49,359,100,14,27,102706,6
163,80,75,273,5,16,0,82309,9
179,85,62,296,128,16,342,1654547,94
229,80,44,351,356,6,5,351291,30
121,75,75,81,137,6,46,428495,30
117,80,78,41,334,14,190,521098,90
119,75,70,164,455,5,0,70065,0
129,75,51,168,454,13,2,61053,3
148,80,81,192,429,16,804,740311,200
100,75,70,265,59,14,200,452187,260
123,80,73,151,317,13,26,478857,38
97,75,45,178,136,16,45,397945,1
184,75,76,232,314,14,1,58957,1
139,75,57,154,192,6,148,299139,50
120,75,26,105,329,14,28,34853,2
108,75,54,254,288,10,21,36784,3
101,75,53,77,426,14,32,92906,7
87,75,69,407,163,14,21,231851,40
180,80,73,197,284,6,116,1392505,100
134,80,70,403,344,16,0,45276,0
104,75,48,335,45,14,156,201933,70
96,80,69,293,46,14,293,1037950,175
131,80,43,320,279,14,309,1047960,32
181,80,79,31,22,16,858,1113975,356
137,80,64,306,439,6,66,753546,30
145,75,29,345,451,6,12,85037,6
78,75,27,413,337,14,141,183523,4
84,80,51,110,251,14,218,454048,25
127,75,76,385,412,16,169,229696,25
136,75,55,24,139,14,43,116792,16
170,80,55,253,8,6,67,651910,60
102,75,74,80,208,14,177,335598,145
103,75,74,137,385,14,0,41021,0
120,75,52,196,218,16,52,125443,11
132,80,65,156,181,16,70,1117219,54
95,80,75,293,367,14,356,708904,175
141,80,64,136,458,12,0,28317,0
105,75,56,349,162,10,35,54499,5
118,80,66,126,189,16,37,667249,19
209,75,79,241,356,3,7,385406,159
107,80,44,148,24,16,38,861187,6
122,75,65,20,315,7,24,318062,50
102,75,47,290,336,16,53,259214,13
129,75,69,182,343,16,255,332181,29
137,75,76,212,65,16,47,281685,9
129,75,66,359,115,4,88,373350,45
103,80,72,363,267,16,17,510528,13
138,80,57,62,248,6,64,582019,35
132,75,45,384,230,14,9,201289,15
103,80,63,217,249,13,2,83287,2
102,75,63,356,39,16,44,454277,4
102,75,33,328,55,6,25,105123,0
